province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date
Bac Lieu,32,25,15,E,1,72,27,1010,2/4/2017
Bac Lieu,31,24,20,E,0,62,5,1013,2/4/2018
Bac Lieu,32,25,18,E,0,70,39,1013,2/4/2019
Bac Lieu,31,23,19,E,0,71,25,1012,2/4/2020
Bac Lieu,31,23,16,ENE,0,65,15,1012,2/4/2021
Bac Lieu,32,23,21,E,0,63,12,1011,2/6/2009
Bac Lieu,32,23,14,E,0,69,40,1011,2/5/2009
Bac Lieu,33,25,19,E,0,71,5,1012,2/5/2010
Bac Lieu,31,23,18,E,0,71,29,1011,2/5/2011
Bac Lieu,31,24,23,E,0,75,11,1011,2/5/2012
Bac Lieu,32,25,26,E,0,73,26,1012,2/5/2013
Bac Lieu,33,25,19,ESE,0,68,10,1013,2/6/2010
Bac Lieu,31,22,16,ESE,0,68,12,1010,2/6/2011
Bac Lieu,31,24,17,ESE,0,75,24,1010,2/6/2012
